Date/Time,Word Count,en,zh
2021.07.21-16.55.43,349,0,349
2021.07.21-17.03.46,349,52,349
2021.07.21-17.15.27,349,203,349
2021.07.21-17.21.07,349,211,349
2021.07.21-17.25.47,354,211,354
2021.07.21-17.27.12,354,214,354
2021.07.21-17.36.09,357,214,357
2021.07.21-21.52.57,363,207,363
2021.07.21-22.16.51,365,207,365
2021.07.21-22.23.12,363,207,363
2021.07.21-22.37.25,361,207,361
2021.07.21-22.38.20,363,207,363
2021.07.21-22.39.59,364,207,364
2021.07.21-22.53.50,359,192,359
2021.07.21-23.01.10,349,161,349
2021.07.21-23.02.02,348,158,348
2021.07.21-23.15.51,348,348,348
2021.07.22-09.05.49,350,343,350
2021.07.22-09.10.27,350,350,350
